id,address,bStatus,createTime,gMapLink,latitude,longitude,name,noOfReviews,phone,rating,site,timings,distance_from_reference_km
mMkjjvITtg78JeelJOEU,"St.Vincent De Poul, 43/2374, Convent Road, Chakkalakkal, Palarivattom, Kochi, Kerala 682025, India",OPERATIONAL,2025-07-18T16:32:18+00:00,https://maps.google.com/?cid=2574175923340447821&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,9.9958765,76.3106518,Osteon Prosthetics and Orthotics,64,+91 98461 16481,4.8,https://www.instagram.com/osteon_prosthetics?utm_source=qr&igsh=MXVpeHE5ajhmZGJ2aw==,"Monday: 9:00 AM – 6:00 PM,Tuesday: 9:00 AM – 6:00 PM,Wednesday: 9:00 AM – 6:00 PM,Thursday: 9:00 AM – 6:00 PM,Friday: 9:00 AM – 6:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: Closed",2063.21
mZgLXzqFo9YdVa0FTBbl,"2775, 21st Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",OPERATIONAL,2025-07-18T11:32:21+00:00,https://maps.google.com/?cid=13479748510048845355&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,12.9219461,77.6469515,Re-Active prosthetics and Orthotics clinic,29,+91 99127 93709,4.9,https://www.reactivepo.com/,"Monday: 9:30 AM – 6:00 PM,Tuesday: 9:30 AM – 6:00 PM,Wednesday: 9:30 AM – 6:00 PM,Thursday: 9:30 AM – 6:00 PM,Friday: 9:30 AM – 6:00 PM,Saturday: 9:30 AM – 6:00 PM,Sunday: Closed",1737.99
mag8vr1VDLFiOUn2FT5A,"WEST RAMKRISHNA NAGAR RD 1 PS RAMKRISHNA NAGAR uma complex, building M, Corp. + OG, Ramkrishna Nagar Rd, West Ramkrishna Nagar, Ramkrishan Nagar, Patna, Bihar 800027, India",OPERATIONAL,2025-07-18T18:32:21+00:00,https://maps.google.com/?cid=11915562807074090541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,25.5833355,85.1418375,Succor Rehab Clinic,16,+91 70214 81933,4.6,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",855.09
mflXg8NHURKdO87NhUD1,"904 S Vanguard Way Suite 100, Meridian, ID 83642, USA",OPERATIONAL,2025-07-19T01:32:21+00:00,https://maps.google.com/?cid=7475255050887827309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,43.5964423,-116.4296126,Advanced Prosthetics & Orthotics Formerly Kormylo Orthopedics - Meridian,17,+1 208-466-4360,5.0,https://apoidaho.com/,"Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed",11888.84
mhutZjeq23D3IQiPTklZ,"702, Saptarshi Homes, near Reliance Smart, Patia, Bhubaneswar, Odisha 751024, India",OPERATIONAL,2025-07-19T11:32:16+00:00,https://maps.google.com/?cid=8200902261978012756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,20.3503012,85.8251211,RD ORTHOCARE,5,,5.0,,"Monday: 9:00 AM – 7:00 PM,Tuesday: 9:00 AM – 7:00 PM,Wednesday: 9:00 AM – 7:00 PM,Thursday: 9:00 AM – 7:00 PM,Friday: 9:00 AM – 7:00 PM,Saturday: 9:00 AM – 7:00 PM,Sunday: 9:00 AM – 7:00 PM",1264.23
mlRcX6IOxnNr93cpDccP,"522, Sector 12, Indira Nagar, Lucknow, Uttar Pradesh 226016, India",OPERATIONAL,2025-07-18T15:32:14+00:00,https://maps.google.com/?cid=16904461915054019477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,26.8835811,80.9997695,P&O Rehab India,98,+91 96519 45203,4.9,https://www.pandorehabindia.co.in/,"Monday: 9:30 AM – 6:00 PM,Tuesday: 9:30 AM – 6:00 PM,Wednesday: 9:30 AM – 6:00 PM,Thursday: 9:30 AM – 6:00 PM,Friday: 9:30 AM – 6:00 PM,Saturday: 9:30 AM – 6:00 PM,Sunday: 11:00 AM – 2:00 PM",420.01
n54KF5Y54OGIEteU1Lne,"Danapur Main Rd, Kurji, Patna, Bihar 800010, India",OPERATIONAL,2025-07-18T18:32:28+00:00,https://maps.google.com/?cid=16422075592187504860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,25.6391209,85.1087669,Amar Humanoid Rehab clinic,29,+91 62878 29972,5.0,https://amarhumanoid.com/,"Monday: 9:30 AM – 6:00 PM,Tuesday: 9:30 AM – 6:00 PM,Wednesday: 9:30 AM – 6:00 PM,Thursday: 9:30 AM – 6:00 PM,Friday: 9:30 AM – 6:00 PM,Saturday: 9:30 AM – 6:00 PM,Sunday: 9:30 AM – 6:00 PM",849.48
nBqcoFMQVH4q9tfPq7Pz,"Upper Ground Floor & 1st Floor, B-217, Industrial Area Phase I, Block B, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028, India",OPERATIONAL,2025-07-17T14:56:26+00:00,https://maps.google.com/?cid=799711058197742473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,28.6314409,77.1369493,Endolite India limited (DELHI),146,+91 11 4568 9955,4.8,https://endoliteind.in/,"Monday: 9:00 AM – 6:00 PM,Tuesday: 9:00 AM – 6:00 PM,Wednesday: 9:00 AM – 6:00 PM,Thursday: 9:00 AM – 6:00 PM,Friday: 9:00 AM – 6:00 PM,Saturday: Closed,Sunday: Closed",7.31
nSS8dwv7fKC4QKheI1Qx,"3rd floor, West gate plus, 303, 150 Feet Ring Rd, Near Raiya Circle, Tirupati Nagar, Rajkot, Gujarat 360007, India",OPERATIONAL,2025-07-19T18:32:13+00:00,https://maps.google.com/?cid=7608255818296870718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,22.3001223,70.7688839,Inspire Health Care- Hi tech artificial limb centre,223,+91 75750 75535,4.9,http://www.inspirehealthcare.in/,"Monday: 10:00 AM – 1:00 PM, 4:30 – 7:00 PM,Tuesday: 10:00 AM – 1:00 PM, 4:30 – 7:00 PM,Wednesday: 10:00 AM – 1:00 PM, 4:30 – 7:00 PM,Thursday: 10:00 AM – 1:00 PM, 4:30 – 7:00 PM,Friday: 10:00 AM – 1:00 PM, 4:30 – 7:00 PM,Saturday: 10:00 AM – 1:00 PM,Sunday: Closed",952.86
nhWMizly1xlyIQdb7Dt1,"Bari Path, Naya Tola, Bhikhana Pahari, Patna, Bihar 800004, India",OPERATIONAL,2025-07-18T18:32:35+00:00,https://maps.google.com/?cid=4988283761182466031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,25.6152163,85.1654204,Orthopaedic Appliances Stores,1,,5.0,,"Monday: 10:00 AM – 6:00 PM,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,Sunday: Closed",855.76
njfCHHUqTOwgS4TGi8YB,"Sankara Matam Rd, Santhipuram, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016, India",OPERATIONAL,2025-07-18T19:32:25+00:00,https://maps.google.com/?cid=1851377084390644226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,17.7359401,83.3032387,Bionic VISAKHAPATNAM,9,+91 82977 06050,4.9,http://www.bionicpno.com/,"Monday: 9:30 AM – 6:00 PM,Tuesday: 9:30 AM – 6:00 PM,Wednesday: 9:30 AM – 6:00 PM,Thursday: 9:30 AM – 6:00 PM,Friday: 9:30 AM – 6:00 PM,Saturday: 9:30 AM – 6:00 PM,Sunday: Closed",1356.04
